asset,mfi_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
uni,5,-0.05393059458806759,-7.902570841690847,-5.0,0.021273227536947128,-20.91784002932837,0.05505698118862858,0.25,0.021273227536947128,0.14573398303824128,4
xmr,5,0.040954719890414326,2.714957382206577,5.0,1.6809126405363422,15.390054737904652,0.05804290796163844,0.5,1.6809126405363422,0.329023039746857,8
aave,5,-0.06576316129354576,-8.823286590398197,-5.0,0.0,-25.9324020603253,0.05447086650355451,0.0,0.0,0.16009458564812776,4
uni,6,-0.10261315832480766,-6.526810114207203,-4.245763961505326,0.01120716675570888,-21.301441966897855,0.10368158365195643,0.25,0.01120716675570888,0.33838386570964074,4
xmr,6,0.02831655183113213,2.3905810170078285,5.0,1.7880970282263242,16.70223132095905,0.03695282486249595,0.6,1.7880970282263242,0.2581776666112768,5
aave,6,-0.0965264401987126,-7.757433217730034,-5.0,0.0,-24.395730198108577,0.08560598689442518,0.0,0.0,0.26921540940191624,4
uni,7,-0.06446338457515166,-2.6292925252401447,-2.9344830157339286,0.5229438614413622,-10.420674562702796,0.12335439326345612,0.3333333333333333,0.5229438614413622,0.48889044324222924,6
xmr,7,-0.01237857934557507,-0.6632292342984525,-1.0861275923582037,0.8675078282580521,-2.9682454835267325,0.07205274489631629,0.5,0.8675078282580521,0.32246804506502386,6
aave,7,-0.06121929665081027,-2.856539903972159,-4.000719233550492,0.5171620428311107,-11.644835272119407,0.10629274343087623,0.16666666666666666,0.5171620428311107,0.43330796329959814,6
uni,8,-0.1149425746510705,-7.275137883556976,-5.0,0.0,-21.705862421074592,0.1149425746510705,0.0,0.0,0.3429388901809249,3
xmr,8,0.023365082776834134,1.4981453119708321,2.773614987808013,1.3383417159238369,7.579929115628276,0.07205274489631629,0.5714285714285714,1.3383417159238369,0.36455388842224523,7
aave,8,-0.09783264957221294,-2.3054073551247667,-2.0800540706981065,0.5880336654910527,-11.641011421940737,0.1584657712992626,0.3333333333333333,0.5880336654910527,0.8001630816266443,6
uni,9,-0.05505698118862856,-8.1290387060641,-5.0,0.0,-21.372502130177537,0.05505698118862856,0.0,0.0,0.14475333311641264,3
xmr,9,0.0559141163233261,3.0003169568212833,5.0,1.6845017766806432,16.939509042662905,0.07205274489631629,0.5,1.6845017766806432,0.40680306157151636,10
aave,9,-0.0779667904958945,-9.28534817276653,-5.0,0.0,-21.593814453108315,0.0779667904958945,0.0,0.0,0.18131796203513745,4
uni,10,-0.033851508920313744,-6.11683050688022,-4.229562259044607,0.0,-21.14492954948807,0.033851508920313744,0.0,0.0,0.11701938944667208,2
xmr,10,0.0559141163233261,3.0003169568212833,5.0,1.6845017766806432,16.939509042662905,0.07205274489631629,0.5,1.6845017766806432,0.40680306157151636,10
aave,10,-0.15286858767311307,-4.830380292007336,-3.3864475685641606,0.19853765746180277,-21.176824881996456,0.15286858767311307,0.2,0.19853765746180277,0.6701897398157737,5
uni,11,-0.10368158365195645,-6.615649443993509,-4.29388626086084,0.0,-21.542876577095008,0.10368158365195645,0.0,0.0,0.33762362695317577,3
xmr,11,-0.0013139448707213397,0.10599469058682721,0.19584514843523593,1.0187048473204807,0.5717472695631043,0.07205274489631629,0.4,1.0187048473204807,0.38866060111991574,10
aave,11,-0.21089733461389848,-7.258568109312289,-5.0,0.0,-22.357162163242013,0.21089733461389848,0.0,0.0,0.6495862322638133,4
uni,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,12,-0.0013139448707213397,0.10599469058682721,0.19584514843523593,1.0187048473204807,0.5717472695631043,0.07205274489631629,0.4,1.0187048473204807,0.38866060111991574,10
aave,12,-0.23266704170552632,-7.873350094165004,-5.0,0.0,-22.68376828299255,0.23266704170552632,0.0,0.0,0.6703328567910263,4
uni,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,13,0.07449052139222889,3.559751173893612,5.0,1.7292227033296357,22.29000228596514,0.07205274489631629,0.5,1.7292227033296357,0.45117081784462737,12
aave,13,0.03585798542046548,2.480733815802761,0.0,2.505260926117627,31.610479448470283,0.024849497662176825,0.5,2.505260926117627,0.31664200735735243,2
uni,14,0.0011920153682682955,4.58257569495584,5.0,10.0,0.0,0.0,1.0,10.0,0.0054625006546401254,1
xmr,14,0.036961171606165966,1.9852242105471027,4.022021806910415,1.3841366733819382,11.741827686810131,0.07205274489631629,0.45454545454545453,1.3841366733819382,0.4261639115820971,11
aave,14,-0.036495555458711415,-6.344717740903187,-5.0,0.0,-31.092737389988343,0.02484949766217696,0.0,0.0,0.12177671830886055,2
uni,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
xmr,15,0.036961171606165966,1.9852242105471027,4.022021806910415,1.3841366733819382,11.741827686810131,0.07205274489631629,0.45454545454545453,1.3841366733819382,0.4261639115820971,11
aave,15,-0.047505081253675474,-1.0087823731354926,0.0,0.7394359683022701,-5.47184466565233,0.13702118115793846,0.6666666666666666,0.7394359683022701,0.7432312847319594,3
uni,16,-0.021948460784343204,-4.582575694955841,0.0,0.0,-21.0,0.021948460784343204,0.0,0.0,0.10058048293202256,1
xmr,16,-0.005120294242898171,-0.11078158716729647,-0.19993649997442928,0.9809043944376814,-0.5836914973882329,0.07205274489631629,0.4,0.9809043944376814,0.3796350606166312,10
