asset,rsi_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
uni,5,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,5,0.036961171606165966,1.9852242105471027,4.022021806910415,1.3841366733819382,11.741827686810131,0.07205274489631629,0.45454545454545453,1.3841366733819382,0.4261639115820971,11
aave,5,-0.21067871625481327,-7.656975708622557,-5.0,0.0,-23.50921269667738,0.20113804278660977,0.0,0.0,0.6175541374565037,5
uni,6,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,6,0.036961171606165966,1.9852242105471027,4.022021806910415,1.3841366733819382,11.741827686810131,0.07205274489631629,0.45454545454545453,1.3841366733819382,0.4261639115820971,11
aave,6,-0.20113804278660963,-7.18773481701232,-5.0,0.0,-22.262310565668997,0.20113804278660963,0.0,0.0,0.6229775706927903,4
uni,7,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,7,0.036961171606165966,1.9852242105471027,4.022021806910415,1.3841366733819382,11.741827686810131,0.07205274489631629,0.45454545454545453,1.3841366733819382,0.4261639115820971,11
aave,7,-0.18078085864879223,-6.3103224636207615,-3.872236446296693,0.0,-21.882616078652173,0.18078085864879223,0.0,0.0,0.6269026895197273,3
uni,8,-0.045989817431461466,-6.784042226869269,-5.0,0.0,-21.246353597477917,0.045989817431461466,0.0,0.0,0.1440315213785466,2
xmr,8,0.036961171606165966,1.9852242105471027,4.022021806910415,1.3841366733819382,11.741827686810131,0.07205274489631629,0.45454545454545453,1.3841366733819382,0.4261639115820971,11
aave,8,-0.18078085864879223,-6.3103224636207615,-3.872236446296693,0.0,-21.882616078652173,0.18078085864879223,0.0,0.0,0.6269026895197273,3
uni,9,-0.021948460784343204,-4.582575694955841,0.0,0.0,-21.0,0.021948460784343204,0.0,0.0,0.10058048293202256,1
